Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.693088,26.013477088948786,-0.18555726,1.7018918320939347,1.7018918320939347,1.0
20000,0.6850227,26.80167597765363,-0.003009441,1.7805012982535826,1.7805012982535826,1.0
30000,0.657396,27.659025787965614,0.13612106,1.8656159195312456,1.8656159195312456,1.0
40000,0.60529745,29.817901234567902,0.30001447,2.0818459906944864,2.0818459906944864,1.0
50000,0.5268066,35.17028985507246,0.4818454,2.6163042106706165,2.6163042106706165,1.0
60000,0.40597218,47.645320197044335,0.7126563,3.861576333128173,3.861576333128173,1.0
70000,0.27834117,63.18987341772152,1.1885587,5.407595083117485,5.407595083117485,1.0
80000,0.22745284,77.368,1.5873865,6.840800314188003,6.840800314188003,1.0
90000,0.20281996,84.77966101694915,1.9427196,7.544068221823644,7.544068221823644,1.0
100000,0.19823422,98.40816326530613,2.101144,8.930303528754399,8.930303528754399,1.0
110000,0.20652807,114.11764705882354,2.1989353,10.517442490125811,10.517442490125811,1.0
120000,0.18467654,121.5,2.4604266,11.250000707623435,11.250000707623435,1.0
130000,0.17895852,120.28048780487805,2.662759,11.128049426325937,11.128049426325937,1.0
140000,0.16622007,127.9090909090909,2.8198547,11.928948100460204,11.928948100460204,1.0
150000,0.15889312,162.3548387096774,2.9497168,15.234921681029457,15.234921681029457,1.0
160000,0.14778489,163.64406779661016,3.1530993,15.37166771988074,15.37166771988074,1.0
170000,0.14009207,147.71428571428572,3.3083909,14.007693265034602,14.007693265034602,1.0
180000,0.13686486,159.8448275862069,3.3925774,14.84762009032189,14.84762009032189,1.0
190000,0.13355258,159.36065573770492,3.6683881,15.036066610793599,15.036066610793599,1.0
200000,0.12533207,172.33962264150944,3.7544477,16.333963399225812,16.333963399225812,1.0
210000,0.121912956,175.41935483870967,4.1064267,16.434427313628746,16.434427313628746,1.0
220000,0.12893751,180.64285714285714,4.1278667,17.377194195985794,17.377194195985794,1.0
230000,0.12120091,172.03571428571428,4.2497625,16.303572537643568,16.303572537643568,1.0
240000,0.11123631,180.28571428571428,4.4102225,17.128572651850327,17.128572651850327,1.0
250000,0.111172244,200.87234042553192,4.653817,19.18723550121835,19.18723550121835,1.0
260000,0.11328691,231.609756097561,4.787995,22.260977250046846,22.260977250046846,1.0
270000,0.105354585,209.9245283018868,4.7727494,20.092454296800327,20.092454296800327,1.0
280000,0.10044299,218.2439024390244,5.0410457,20.924391846104367,20.924391846104367,1.0
290000,0.112922594,246.97674418604652,5.2288747,23.797676202169683,23.797676202169683,1.0
300000,0.10151964,199.8181818181818,5.5197005,19.08181951872327,19.08181951872327,1.0
310000,0.09622141,316.4642857142857,5.3869276,30.746431006916932,30.746431006916932,1.0
320000,0.09740799,230.09803921568627,5.3973413,22.3720016092062,22.3720016092062,1.0
330000,0.09380935,278.30555555555554,5.609842,26.905557561251854,26.905557561251854,1.0
340000,0.098031744,212.2391304347826,5.626001,20.102129105557786,20.102129105557786,1.0
350000,0.097433165,214.9787234042553,5.596726,20.832610218421273,20.832610218421273,1.0
360000,0.083314724,227.575,5.581665,21.563416194625017,21.563416194625017,1.0
370000,0.09816002,229.88888888888889,5.7729764,22.681397074183753,22.681397074183753,1.0
380000,0.09156073,232.72093023255815,6.0257573,21.79333496557342,21.79333496557342,1.0
390000,0.08704308,310.25,6.0321913,30.125002454034984,30.125002454034984,1.0
400000,0.088270284,238.93617021276594,5.9012465,22.9936187146826,22.9936187146826,1.0
410000,0.08418478,202.25,6.031792,19.32500148440401,19.32500148440401,1.0
420000,0.08494908,227.11428571428573,6.162533,21.811430287361144,21.811430287361144,1.0
430000,0.095699966,263.95348837209303,6.073658,25.375001906671308,25.375001906671308,1.0
440000,0.08976123,273.4864864864865,6.171028,26.448650696793116,26.448650696793116,1.0
450000,0.086177565,243.775,6.1572847,23.477501855045556,23.477501855045556,1.0
460000,0.09057558,301.6923076923077,6.3653045,29.269233089226944,29.269233089226944,1.0
470000,0.07560033,298.1219512195122,6.225623,28.912197425598052,28.912197425598052,1.0
480000,0.08688327,278.09090909090907,6.361853,26.909093024152696,26.909093024152696,1.0
490000,0.08276232,272.7027027027027,6.452394,26.37027241893717,26.37027241893717,1.0
500000,0.07792521,202.65116279069767,6.376815,19.14318315142935,19.14318315142935,1.0
510000,0.08037744,276.45238095238096,6.4451556,26.745240212196396,26.745240212196396,1.0
520000,0.08423356,229.95348837209303,6.259053,22.09535056699154,22.09535056699154,1.0
530000,0.0821408,270.22857142857146,6.6105857,26.12285927619253,26.12285927619253,1.0
540000,0.08138271,278.03125,6.4811215,27.703032437599067,27.703032437599067,1.0
550000,0.082479164,303.6578947368421,6.7284164,30.0189213438614,30.0189213438614,1.0
560000,0.08560079,214.02272727272728,6.398741,20.246668197049036,20.246668197049036,1.0
570000,0.080456026,269.19354838709677,6.5975327,26.019356813161604,26.019356813161604,1.0
580000,0.083530635,333.42857142857144,6.665149,32.442859768016,32.442859768016,1.0
590000,0.079497546,317.96153846153845,6.6532955,30.89615638095599,30.89615638095599,1.0
600000,0.0818214,281.6969696969697,6.7635703,29.135296325473224,29.135296325473224,1.0
610000,0.077266,397.0869565217391,6.707021,38.80869896645131,38.80869896645131,1.0
620000,0.07216803,412.55555555555554,6.710734,40.35555882586373,40.35555882586373,1.0
630000,0.07404952,262.0487804878049,6.809519,25.3048800811535,25.3048800811535,1.0
640000,0.07771725,395.625,6.960021,38.66250311707457,38.66250311707457,1.0
650000,0.08353604,328.80645161290323,7.0246873,31.980647749477818,31.980647749477818,1.0
660000,0.07192239,266.89473684210526,6.851114,25.789475709199905,25.789475709199905,1.0
670000,0.07588517,279.2162162162162,6.865582,27.02162369682982,27.02162369682982,1.0
680000,0.07720586,254.76923076923077,6.797053,24.57692507062203,24.57692507062203,1.0
690000,0.074967444,283.4864864864865,6.617446,27.448650787005555,27.448650787005555,1.0
700000,0.072697476,259.16129032258067,6.80038,25.0161309367226,25.0161309367226,1.0
710000,0.07373749,325.2,6.761504,31.62000248857907,31.62000248857907,1.0
720000,0.080694415,340.93333333333334,6.896864,30.33571675845555,30.33571675845555,1.0
730000,0.07181227,387.2432432432432,6.8215027,39.50540869219883,39.50540869219883,1.0
740000,0.07719016,288.2903225806452,6.9944463,27.987098993793612,27.987098993793612,1.0
750000,0.06978768,256.25,6.731938,24.305407248638772,24.305407248638772,1.0
760000,0.08081734,402.7096774193548,6.8745084,39.37097105383873,39.37097105383873,1.0
770000,0.07357352,297.9655172413793,6.9007897,28.896554075438402,28.896554075438402,1.0
780000,0.07545552,332.09090909090907,6.9086857,32.30909352139993,32.30909352139993,1.0
790000,0.076292835,462.2068965517241,6.978467,45.32069348569574,45.32069348569574,1.0
800000,0.07393484,342.1034482758621,7.150856,33.31034754884654,33.31034754884654,1.0
810000,0.07278153,335.22222222222223,7.138679,32.62222479559757,32.62222479559757,1.0
820000,0.07331804,358.44827586206895,7.1496058,35.724140833164086,35.724140833164086,1.0
830000,0.07709046,393.14285714285717,7.125522,37.0954575267705,37.0954575267705,1.0
840000,0.07437632,389.4516129032258,7.095408,38.04516443994738,38.04516443994738,1.0
850000,0.07150606,326.0769230769231,7.198518,31.70769486977504,31.70769486977504,1.0
860000,0.07693199,266.8787878787879,7.0747743,25.787880799084,25.787880799084,1.0
870000,0.07067465,328.2972972972973,7.1256776,31.929732321887403,31.929732321887403,1.0
880000,0.06768536,282.45714285714286,7.0034194,27.345716482400896,27.345716482400896,1.0
890000,0.06986286,286.6470588235294,7.1736903,27.764708064058247,27.764708064058247,1.0
900000,0.07262812,264.90909090909093,7.13848,25.590911135529026,25.590911135529026,1.0
910000,0.07549665,320.0571428571429,6.9990644,31.105716859442847,31.105716859442847,1.0
920000,0.07016306,327.2903225806452,7.177746,31.82903485240475,31.82903485240475,1.0
930000,0.06842206,401.8,7.1364775,39.562503357728325,39.562503357728325,1.0
940000,0.07094099,285.86486486486484,7.056387,27.81316016614437,27.81316016614437,1.0
950000,0.07394049,269.9117647058824,7.232689,26.0911785048597,26.0911785048597,1.0
